Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,PCA1,PCA2,Grade Category,Cluster
0.0,0.0,0.25,0.4,0.2,0.5,1.0,0.6666666666666666,0.8333333333333333,77.5,-3.8050892503522267,-1.154407565885771,Medium,2
1.0,0.0,0.25,0.6000000000000001,0.2,0.5,0.25,0.5,0.5,83.0,-3.7943495297183394,-0.6763567708427574,High,1
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,80.0,-3.2231166514047165,-3.9797606897194733,Medium,0
0.0,0.0,0.75,1.0,0.2,0.5,0.5,0.3333333333333333,0.5,45.0,-4.311162731302858,1.6093922196058852,Low,2
1.0,0.0,0.25,0.2,0.4,0.5,0.25,0.5,0.6666666666666666,85.0,-3.5911249677864094,-1.59790593509741,High,1
0.0,0.0,0.25,1.0,0.2,0.5,0.25,0.3333333333333333,0.3333333333333333,80.0,-4.122431647174865,0.5498389835424167,Medium,2
0.0,0.0,0.25,0.4,0.4,0.5,0.5,0.5,0.5,55.0,-3.8329216680031566,-0.9971722068880102,Low,2
0.0,0.0,0.25,1.0,0.4,0.5,0.5,0.5,0.5,80.0,-4.212451591517332,1.1513314987240708,Medium,2
1.0,0.0,0.5,0.2,0.2,0.5,0.75,0.5,0.8333333333333333,60.0,-3.7108106083603465,-1.4125563081002164,Low,1
0.0,0.0,0.5,1.0,0.4,0.5,0.25,0.3333333333333333,0.6666666666666666,88.0,-4.207384792005563,1.6109185111564495,High,2
1.0,0.0,1.0,0.2,0.2,0.5,0.5,0.6666666666666666,0.3333333333333333,80.0,-3.823704567693361,-0.6709859794925097,Medium,1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,45.0,-3.229171919554664,-3.813085327778258,Low,0
1.0,0.0,0.75,0.6000000000000001,0.4,0.5,0.5,0.8333333333333333,0.8333333333333333,90.0,-3.944832556440465,1.0055209639869513,High,1
1.0,0.0,1.0,0.2,0.4,0.5,0.5,0.8333333333333333,0.8333333333333333,74.0,-3.761139654299191,0.04750856212656718,Medium,1
1.0,0.0,0.75,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,95.0,-4.5279375453841615,3.610569811563609,High,1
1.0,0.0,0.5,0.8,0.6000000000000001,0.5,0.25,0.5,0.5,50.0,-4.1581159034762765,1.3837688393898189,Low,1
0.0,0.0,0.25,1.0,0.2,0.5,0.25,0.6666666666666666,0.16666666666666666,98.0,-4.0685574918064775,0.5854073565756277,High,2
1.0,0.0,0.5,0.4,0.6000000000000001,0.5,0.5,0.8333333333333333,0.5,90.0,-3.9012987894900797,0.09790784098310379,High,1
1.0,0.0,0.75,0.6000000000000001,0.4,0.5,0.75,0.5,0.6666666666666666,87.0,-4.1512915695454895,0.8529505645163189,High,1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.5,55.0,-3.351384653153049,-4.000592673304059,Low,0
0.0,0.0,0.5,0.4,0.4,0.5,1.0,0.6666666666666666,0.6666666666666666,95.0,-3.992550262527919,-0.3212364970106245,High,2
1.0,0.0,0.25,0.8,0.2,0.5,0.25,0.5,0.3333333333333333,70.0,-3.955028793338063,-0.036158355218358196,Medium,1
1.0,0.0,0.25,1.0,0.2,0.5,0.75,0.6666666666666666,0.16666666666666666,70.0,-4.240178893729372,0.7296828821561281,Medium,1
1.0,0.0,0.75,0.4,0.4,0.5,0.25,0.5,0.5,45.0,-3.8904583251424842,-0.009060715711004974,Low,1
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6666666666666666,0.5,80.0,-3.179094929163023,-3.92399176007972,Medium,0
1.0,0.0,0.5,0.4,0.2,0.5,0.5,0.3333333333333333,0.3333333333333333,65.0,-3.8996038929451213,-1.015002740663328,Medium,1
0.0,0.0,0.25,1.0,0.2,0.5,0.25,0.3333333333333333,0.8333333333333333,95.0,-4.01992377982987,0.777747442281302,High,2
1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6666666666666666,0.5,45.0,-3.350716331085917,-3.7797162344992197,Low,0
1.0,0.0,1.0,0.2,0.6000000000000001,0.5,0.5,0.3333333333333333,0.3333333333333333,76.5,-4.079677364561784,0.08711046770886277,Medium,1
1.0,0.0,0.5,0.4,0.2,0.5,0.5,0.6666666666666666,0.3333333333333333,61.0,-3.8115604484617345,-0.903464881383822,Medium,1
0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.3333333333333333,95.0,-3.425778499532993,-3.9858562838554334,High,0
0.0,0.0,0.25,0.8,0.2,0.5,0.25,0.3333333333333333,0.3333333333333333,80.0,-3.995921672670141,-0.16632891832827745,Medium,2
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.6666666666666666,85.0,-3.232969084531411,-3.959560133112931,High,0
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.6666666666666666,99.0,-3.232969084531411,-3.959560133112931,High,0
1.0,0.0,0.5,0.4,0.2,0.5,0.75,0.5,0.3333333333333333,77.0,-3.939828450210067,-0.9242968649684076,Medium,1
